text,predicted_sentiment
20000 10 15,neutral
Dheere dheere samjh mein aara nayak movie mein Rani Mukherji ka baap apni beti ke liye govt job wala ladka kyku dhoondra tha Har jagah khaali layoff ke charche hai,neutral
recession layoffs,neutral
layoff m naam na aajye phir saari khusi mil jaegi,neutral
Linkedin Open bhi Karta hun to Layoffs nazar aa jate hain,neutral
Bhai yahan mujhe job nahi mil Rahi aur wahan sab companies layoffs kr rahi hai,neutral
50 layoff karne ke baad stock upar bhag rha kuch andar ki baat hai kya,neutral
Abhi Abhi company ne layoff kiya hain kya karunga 1 lakh ka,neutral
LAYOFF UNPRODUCTIVE,neutral
Layoff,neutral
10 11 Meta Layoff Mark Zuckerberg,neutral
Paytm Paytm 1000,neutral
Lodu itna Saraa layoff nhi karta to abhi Tak thik hogaya hota,neutral
LinkedIn kholo to aadha public layoff ke sadme me hai aur bache aadhe log ke goodies dikhane khatam hi nahi ho rahe Isme bich wale jaye to kahan jaye,neutral
Bhai koi profitable hua kya abhi tak,neutral
Sawal bas itana sa haiwo sab Jo dusare company mem huye layoff pr video banate the wo khud ki company ke bare men kab banayenge video Itani si bat hai,neutral
Aise jhantu log hain by god Koi khush nahi kisi se rent afford nahi hora layoff ka khauf boss maarne pe tula hai landlord harami hai hangover ki umar mein suicidal hore hain lekin fir bhi kisi aur ko ungli karni hein hai Ye major vo major Laude ka major chaat lo degree,neutral
